Pathogens,Kingdom,Citation1,Citation2,Citation3,Former Species Name
Mycoplasma gallisepticum,avian,"Carpenter, James W., and Chris Marion.? Exotic Animal Formulary-E-Book. Elsevier Health Sciences, 2017.","Wallach, Joel D., and William J. Boever.? Diseases of exotic animals. Medical and surgical management. WB Saunders Co., 1983.","Ballard, Bonnie, and Ryan Cheek, eds.? Exotic animal medicine for the veterinary technician. John Wiley & Sons, 2016.","Jepson, Lance.? Exotic animal medicine: a quick reference guide. Elsevier Health Sciences, 2015."
Mycoplasma synoviae,avian,"Carpenter, James W., and Chris Marion.? Exotic Animal Formulary-E-Book. Elsevier Health Sciences, 2017.","Wallach, Joel D., and William J. Boever.? Diseases of exotic animals. Medical and surgical management. WB Saunders Co., 1983.","Ballard, Bonnie, and Ryan Cheek, eds.? Exotic animal medicine for the veterinary technician. John Wiley & Sons, 2016.","Jepson, Lance.? Exotic animal medicine: a quick reference guide. Elsevier Health Sciences, 2015."
Nymphicus hollandicus,avian,"Carpenter, James W., and Chris Marion.? Exotic Animal Formulary-E-Book. Elsevier Health Sciences, 2017.","Wallach, Joel D., and William J. Boever.? Diseases of exotic animals. Medical and surgical management. WB Saunders Co., 1983.","Ballard, Bonnie, and Ryan Cheek, eds.? Exotic animal medicine for the veterinary technician. John Wiley & Sons, 2016.","Jepson, Lance.? Exotic animal medicine: a quick reference guide. Elsevier Health Sciences, 2015."
Pelistega europaea,avian,"Carpenter, James W., and Chris Marion.? Exotic Animal Formulary-E-Book. Elsevier Health Sciences, 2017.","Wallach, Joel D., and William J. Boever.? Diseases of exotic animals. Medical and surgical management. WB Saunders Co., 1983.","Ballard, Bonnie, and Ryan Cheek, eds.? Exotic animal medicine for the veterinary technician. John Wiley & Sons, 2016.","Jepson, Lance.? Exotic animal medicine: a quick reference guide. Elsevier Health Sciences, 2015."
Rhodotorula mucilaginosis,avian,"Carpenter, James W., and Chris Marion.? Exotic Animal Formulary-E-Book. Elsevier Health Sciences, 2017.","Wallach, Joel D., and William J. Boever.? Diseases of exotic animals. Medical and surgical management. WB Saunders Co., 1983.","Ballard, Bonnie, and Ryan Cheek, eds.? Exotic animal medicine for the veterinary technician. John Wiley & Sons, 2016.","Jepson, Lance.? Exotic animal medicine: a quick reference guide. Elsevier Health Sciences, 2015."
Salmonella pullorum,avian,"Carpenter, James W., and Chris Marion.? Exotic Animal Formulary-E-Book. Elsevier Health Sciences, 2017.","Wallach, Joel D., and William J. Boever.? Diseases of exotic animals. Medical and surgical management. WB Saunders Co., 1983.","Ballard, Bonnie, and Ryan Cheek, eds.? Exotic animal medicine for the veterinary technician. John Wiley & Sons, 2016.","Jepson, Lance.? Exotic animal medicine: a quick reference guide. Elsevier Health Sciences, 2015."
Scedosporium apiospermum,avian,"Bennett, John E., Raphael Dolin, and Martin J. Blaser.? Mandell, Douglas, and Bennett's Principles and Practice of Infectious Diseases E-Book. Elsevier health sciences, 2019.","Sykes, Jane E., and Craig E. Greene.? Infectious Diseases of the Dog and Cat-E-Book. Elsevier Health Sciences, 2013.","Williams, Elizabeth S., and Ian K. Barker, eds.? Infectious diseases of wild mammals. John Wiley & Sons, 2008.",
Serinus canaria,avian,"Carpenter, James W., and Chris Marion.? Exotic Animal Formulary-E-Book. Elsevier Health Sciences, 2017.","Wallach, Joel D., and William J. Boever.? Diseases of exotic animals. Medical and surgical management. WB Saunders Co., 1983.","Ballard, Bonnie, and Ryan Cheek, eds.? Exotic animal medicine for the veterinary technician. John Wiley & Sons, 2016.","Jepson, Lance.? Exotic animal medicine: a quick reference guide. Elsevier Health Sciences, 2015."
Serratia marcescens,avian,Wilkins R.J. Serratia marcescens septicaemia in the dog. J Small Anim Pract. 1973 Apr;14(4):205-15.,"Carpenter, James W., and Chris Marion.? Exotic Animal Formulary-E-Book. Elsevier Health Sciences, 2017.","Wallach, Joel D., and William J. Boever.? Diseases of exotic animals. Medical and surgical management. WB Saunders Co., 1983.","Ballard, Bonnie, and Ryan Cheek, eds.? Exotic animal medicine for the veterinary technician. John Wiley & Sons, 2016."
Staphylococcus intermedius,avian,"Carpenter, James W., and Chris Marion.? Exotic Animal Formulary-E-Book. Elsevier Health Sciences, 2017.","Wallach, Joel D., and William J. Boever.? Diseases of exotic animals. Medical and surgical management. WB Saunders Co., 1983.","Ballard, Bonnie, and Ryan Cheek, eds.? Exotic animal medicine for the veterinary technician. John Wiley & Sons, 2016.","Jepson, Lance.? Exotic animal medicine: a quick reference guide. Elsevier Health Sciences, 2015."
