id,C1,C2
Enterobacter soli,1076,Infinity
Klebsiella aerogenes-pneumoniae,1650,Infinity
Pantoea eucrina,803,Infinity
Halomonas sp.,3510,Infinity
Acinetobacter albensis,1863,Infinity
Acinetobacter haemolyticus,1486,Infinity
Pseudomonas chlororaphis,464,Infinity
Pseudomonas frederiksbergensis,258,Infinity
Pseudomonas fulva-parafulva,1255,Infinity
Pseudomonas graminis,1066,Infinity
Pseudomonas japonica,0,Infinity
Akkermansia muciniphila,1300,Infinity
Cladosporium aphidis,0,Infinity
Cladosporium cycadicola,223,Infinity
Aureobasidium melanogenum,83,Infinity
Didymosphaeria futilis,14,Infinity
Periconia sp.,27,Infinity
Bipolaris austrostipae-cynodontis,41,Infinity
Curvularia kusanoi,0,Infinity
Penicillium decumbens,0,Infinity
(c)Leotiomycetes sp.,0,Infinity
Debaryomyces prosopidis,21,Infinity
Clavispora intermedia,Unknown,Unknown
Acremonium alternatum-egyptiacum-sclerotigenum,13,Infinity
Sarocladium sp.,0,Infinity
Sarocladium strictum,95,Infinity
Nigrospora sp.,61,Infinity
Nigrospora oryzae,0,Infinity
Arthrinium sacchari,0,Infinity
Thanatephorus cucumeris,0,Infinity
(o)Polyporales sp.,19,Infinity
Sporobolomyces ruberrimus,3,Infinity
Naganishia adeliensis,42,Infinity
Vishniacozyma dimennae,18,Infinity
Urocystis tritici,0,Infinity
Moesziomyces rugulosus,610,Infinity
Wallemia canadensis,0,Infinity
Wallemia tropicalis,8,Infinity
Rhizopus oryzae,Unknown,Unknown
Schaalia odontolytica,0,Infinity
Corynebacterium fournierii,296,Infinity
Corynebacterium minutissimum-ulcerans,0,Infinity
Corynebacterium pseudodiphtheriticum,680,Infinity
Dietzia timorensis,715,Infinity
Nocardia sp.,1696,Infinity
(f)Frankiaceae sp.,1353,Infinity
(o)Frankiales sp.,1423,Infinity
(f)Beutenbergiaceae sp.,660,Infinity
Brachybacterium arcticum,5276,Infinity
Agreia bicolorata-pratensis,2820,Infinity
Frondihabitans sp.,500,Infinity
Labedella endophytica,0,Infinity
Arthrobacter globiformis,1123,Infinity
Micrococcus sp.,20216,Infinity
Micrococcus terreus,786,Infinity
Rothia dentocariosa,523,Infinity
Yaniella sp.,2700,Infinity
Yaniella flava,3563,Infinity
Sanguibacter inulinus,0,Infinity
Micromonospora sp.,0,Infinity
Aeromicrobium sp.,716,Infinity
Aeromicrobium alkaliterrae,0,Infinity
Nocardioides alkalitolerans,0,Infinity
Nocardioides glacieisoli,736,Infinity
Streptomyces sp.,2086,Infinity
Solirubrobacter sp.,Unknown,Unknown
Butyricimonas sp.,0,Infinity
(f)Odoribacteraceae sp.,1050,Infinity
Odoribacter sp.,1930,Infinity
Porphyromonas sp.,1513,Infinity
Prevotella melaninogenica,0,Infinity
Alistipes sp.,3513,Infinity
Alistipes senegalensis,0,Infinity
Chryseobacterium gwangjuense,926,Infinity
Chryseobacterium scophthalmum,3870,Infinity
Flavobacterium branchiarum,523,Infinity
Pedobacter agri,680,Infinity
Musa textilis,4183,Infinity
Bacillus niabensis,0,Infinity
Psychrobacillus psychrodurans,1456,Infinity
Exiguobacterium indicum,1936,Infinity
Solibacillus silvestris,383,Infinity
Macrococcus caseolyticus,365,Infinity
Salinicoccus sp.,0,0
Staphylococcus felis,0,0
Staphylococcus gallinarum,1636,Infinity
Staphylococcus lentus,1656,Infinity
Staphylococcus nepalensis,0,Infinity
Staphylococcus petrasii,0,Infinity
Carnobacterium inhibens,210,Infinity
Dolosigranulum pigrum,716,Infinity
Granulicatella adiacens,266,Infinity
Lactobacillus animalis-murinus,310,Infinity
Lactobacillus iners,1233,Infinity
Lactobacillus johnsonii,756,Infinity
Aerosphaera sp.,1136,Infinity
Clostridium sp.,783,Infinity
(f)Peptococcaceae sp.,160,Infinity
Peptostreptococcus canis,23,Infinity
Phascolarctobacterium faecium,0,Infinity
Veillonella dispar-parvula,0,0
Veillonella rogosae,0,0
Anaerococcus hydrogenalis,310,Infinity
Peptoniphilus harei,0,0
Fusobacterium hwasookii,0,0
(f)Gemmatimonadaceae sp.,593,Infinity
(o)Gemmatimonadales sp.,1280,Infinity
