#query	genus	phylum	domain
Nocardia nova	Nocardia	Actinomycetota	Bacteria
Nocardia otitidiscaviarum	Nocardia	Actinomycetota	Bacteria
Ochrobactrum	Ochrobactrum	Pseudomonadota	Bacteria
Orientia	Orientia	Pseudomonadota	Bacteria
Paenibacillus larvae	Paenibacillus	Bacillota	Bacteria
Pantoea	Pantoea	Pseudomonadota	Bacteria
Pantoea alhagi	Pantoea	Pseudomonadota	Bacteria
Pantoea allii	Pantoea	Pseudomonadota	Bacteria
Pantoea ananatis	Pantoea	Pseudomonadota	Bacteria
Pantoea anthophila	Pantoea	Pseudomonadota	Bacteria
Pantoea beijingensis	Erwinia	Pseudomonadota	Bacteria
Pantoea brenneri	Pantoea	Pseudomonadota	Bacteria
Pantoea coffeiphila	Pantoea	Pseudomonadota	Bacteria
Pantoea conspicua	Pantoea	Pseudomonadota	Bacteria
Pantoea cypripedii	Pantoea	Pseudomonadota	Bacteria
Pantoea deleyi	Pantoea	Pseudomonadota	Bacteria
Pantoea endophytica	Pantoea	Pseudomonadota	Bacteria
Pantoea eucalypti	Pantoea	Pseudomonadota	Bacteria
Pantoea eucrina	Pantoea	Pseudomonadota	Bacteria
Pantoea latae	Pantoea	Pseudomonadota	Bacteria
Pantoea pleuroti	Pantoea	Pseudomonadota	Bacteria
Pantoea rodasii	Pantoea	Pseudomonadota	Bacteria
Pantoea rwandensis	Pantoea	Pseudomonadota	Bacteria
Pantoea septica	Pantoea	Pseudomonadota	Bacteria
Pantoea sesami	Pantoea	Pseudomonadota	Bacteria
Pantoea stewartii	Pantoea	Pseudomonadota	Bacteria
Pantoea vagans	Pantoea	Pseudomonadota	Bacteria
Pantoea wallisii	Pantoea	Pseudomonadota	Bacteria
Parvimonas micra	Parvimonas	Bacillota	Bacteria
Pasteurella	Pasteurella	Pseudomonadota	Bacteria
Pasteurella canis	Pasteurella	Pseudomonadota	Bacteria
Pasteurella dagmatis	Pasteurella	Pseudomonadota	Bacteria
Pasteurella multocida	Pasteurella	Pseudomonadota	Bacteria
