id,C1,C2
Agrobacterium tumefaciens,1517,Infinity
Paracoccus carotinifaciens-haeundaensis-marcusii,6326,Infinity
Rubellimicrobium roseum,2686,Infinity
Roseomonas sp.,2233,Infinity
Morus alba,6026,Infinity
(f)Mitochondria aestivum,3453,Infinity
Sphingomonas humi-swuensis,8136,Infinity
Acidovorax delafieldii-radicis,14396,Infinity
Neisseria wadsworthii,7080,Infinity
(c)Deltaproteobacteria sp.,1230,Infinity
Arcobacter sp.,7870,Infinity
Arcobacter cryaerophilus,10640,Infinity
(f)Cardiobacteriaceae sp.,1320,Infinity
(c)Mollicutes sp.,2603,Infinity
Aureobasidium melanogenum,78,Infinity
(c)Dothideomycetes sp.,38,Infinity
Didymella glomerata,351,Infinity
Kazachstania slooffiae,26,Infinity
Sporobolomyces roseus,38,Infinity
Filobasidium chernovii,46,Infinity
Schaalia odontolytica,3073,Infinity
Bifidobacterium pseudocatenulatum,3478,Infinity
Corynebacterium ammoniagenes,6147,Infinity
Corynebacterium matruchotii,2273,Infinity
(o)Frankiales sp.,2603,Infinity
Blastococcus sp.,2320,Infinity
Brachybacterium alimentarium,6186,Infinity
Kytococcus sedentarius,2575,Infinity
Janibacter sp.,6860,Infinity
Knoellia sp.,4160,Infinity
Tetrasphaera sp.,3373,Infinity
Arthrobacter psychrolactophilus,5306,Infinity
Kocuria atrinae,5676,Infinity
Kocuria gwangalliensis,1890,Infinity
Rothia nasimurium,6180,Infinity
Sanguibacter marinus,8986,Infinity
Marmoricola sp.,3186,Infinity
Bacteroides vulgatus,1155,Infinity
Paludibacter sp.,2110,Infinity
Prevotella melaninogenica,9040,Infinity
Ornithobacterium sp.,4383,Infinity
(p)Bacteroidetes sp.,2380,Infinity
Exiguobacterium acetylicum,1820,Infinity
Planomicrobium okeanokoites,11250,Infinity
Sporosarcina luteola,4206,Infinity
Staphylococcus lentus,4273,Infinity
Staphylococcus massiliensis,63293,Infinity
Abiotrophia defectiva,4103,Infinity
Dolosigranulum pigrum,2230,Infinity
Granulicatella adiacens,6956,Infinity
Streptococcus australis,1700,Infinity
(f)Clostridiaceae sp.,8906,Infinity
Proteiniclasticum sp.,5283,Infinity
Youngiibacter sp.,4926,Infinity
Johnsonella sp.,Unknown,Unknown
Anaerococcus octavius,11126,Infinity
Bradyrhizobium embrapense-erythrophlei-viridifuturi,7816,Infinity
Pseudochrobactrum asaccharolyticum,4346,Infinity
Paracoccus laeviglucosivorans,9403,Infinity
Rubellimicrobium sp.,Unknown,Unknown
Pinus sp.,6396,Infinity
Novosphingobium barchaimii-fluoreni,3076,Infinity
Sphingobium yanoikuyae,3592,Infinity
Lautropia mirabilis,13070,Infinity
Variovorax soli,1286,Infinity
Massilia aurea,2476,Infinity
Massilia brevitalea,3810,Infinity
(o)Myxococcales sp.,1093,Infinity
Aeromonas media,0,Infinity
Escherichia coli,321,Infinity
Acinetobacter schindleri,865,Infinity
(f)Pseudomonadaceae sp.,3190,Infinity
Pseudomonas panacis-yamanorum,2993,Infinity
(p)Proteobacteria sp.,3706,Infinity
(c)Rhodothermia sp.,1696,Infinity
Fretibacterium sp.,Unknown,Unknown
(o)Chaetothyriales sp.,78,Infinity
(o)Eurotiales sp.,19,Infinity
Fusarium sp.,64,Infinity
Schizophyllum commune,43,Infinity
Xylodon nothofagi,95,Infinity
Peniophora sp.,28,Infinity
Sistotremastrum sp.,37,Infinity
(c)Cystobasidiomycetes sp.,9,Infinity
Cystofilobasidium macerans,31,Infinity
Filobasidium chernovii-globisporum,31,Infinity
Vishniacozyma tephrensis,0,Infinity
Papiliotrema fonsecae,58,Infinity
Wallemia mellicola,17,Infinity
*Saccharimonas sp.,2576,Infinity
Schaalia sp.,1123,Infinity
Gardnerella vaginalis,3245,Infinity
Corynebacterium glucuronolyticum,2266,Infinity
Corynebacterium glyciniphilum-variabile,4608,Infinity
Corynebacterium macginleyi,1866,Infinity
Corynebacterium singulare,2562,Infinity
Corynebacterium stationis,2746,Infinity
Gordonia sp.,5690,Infinity
Rhodococcus sp.,1690,Infinity
Rhodococcus corynebacterioides,2603,Infinity
Blastococcus saxobsidens,8116,Infinity
Modestobacter sp.,5443,Infinity
Modestobacter lapidis,2280,Infinity
Brevibacterium sp.,4393,Infinity
Actinotalea ferrariae,2473,Infinity
Cellulomonas carbonis,3216,Infinity
Cellulomonas cellasea,4026,Infinity
(f)Cellulomonadaceae sp.,1830,Infinity
Dermabacter hominis,189,Infinity
(f)Dermabacteraceae sp.,3060,Infinity
Microbacterium lacticum,2530,Infinity
Microbacterium phyllosphaerae,2270,Infinity
Arthrobacter sp.,1573,Infinity
Arthrobacter psychrochitiniphilus,2743,Infinity
(f)Micrococcaceae agilis-rosea,2876,Infinity
Citricoccus sp.,2743,Infinity
Kocuria himachalensis,2263,Infinity
Micrococcus lylae,2513,Infinity
(f)Nakamurellaceae sp.,3260,Infinity
Cutibacterium avidum,134,Infinity
Slackia piriformis,2016,Infinity
Capnocytophaga cynodegmi,3553,Infinity
(o)Sphingobacteriales sp.,2196,Infinity
(p)Chloroflexi sp.,1403,Infinity
Brassica napus,24373,Infinity
Deinococcus reticulitermitis,3293,Infinity
Bacillus soli,2030,Infinity
Psychrobacillus psychrodurans,2356,Infinity
Kurthia zopfii,4833,Infinity
Staphylococcus pasteuri,0,Infinity
Carnobacterium inhibens,848,Infinity
Desemzia incerta,1520,Infinity
(f)Carnobacteriaceae adiacens-enrichment,663,Infinity
Streptococcus gallolyticus-pasteurianus,726,Infinity
Streptococcus mutans,2018,Infinity
Streptococcus parasanguinis,10247,Infinity
Streptococcus peroris,1680,Infinity
Blautia obeum,1730,Infinity
Terrisporobacter sp.,2926,Infinity
Parvimonas sp.,Unknown,Unknown
Peptoniphilus sp.,72,723
(f)Tissierellaceae sp.,4206,Infinity
Methylobacterium adhaesivum,2483,Infinity
Methylobacterium adhaesivum-goesingense,2933,Infinity
(o)Rhizobiales sp.,2013,Infinity
Roseovarius sp.,Unknown,Unknown
Rubellimicrobium mesophilum,3446,Infinity
Acidocella aluminiidurans,1920,Infinity
(o)Rhodospirillales sp.,2966,Infinity
(f)Mitochondria sp.,Unknown,Unknown
Sphingomonas aerolata,1440,Infinity
Sphingomonas lutea,2923,Infinity
Sphingomonas mucosissima,2360,Infinity
Sphingomonas paucimobilis,4196,Infinity
Limnobacter sp.,1513,Infinity
Ralstonia mannitolilytica,1225,Infinity
Pelomonas saccharophila,6223,Infinity
Massilia timonae,504,Infinity
Noviherbaspirillum suwonense,1830,Infinity
Neisseria subflava,1347,Infinity
Desulfomicrobium orale,2030,Infinity
