id,C1,C2
Acinetobacter bereziniae,Unknown,Unknown
Acinetobacter junii,Unknown,Unknown
Acinetobacter pittii,0,0
(f)Moraxellaceae sp.,Unknown,Unknown
Perlucidibaca sp.,0,0
Pseudomonas antarctica-auricularis,Unknown,Unknown
Pseudomonas helleri,Unknown,Unknown
Pseudomonas mosselii-plecoglossicida-putida,Unknown,Unknown
Pseudomonas panacis-yamanorum,Unknown,Unknown
Pseudomonas psychrotolerans,Unknown,Unknown
Pseudomonas soli,0,0
Pseudomonas xiamenensis,Unknown,Unknown
Stenotrophomonas rhizophila,Unknown,Unknown
(o)Entomoplasmatales sp.,0,0
(f)Spiroplasmataceae sp.,0,0
(o)Chthoniobacterales sp.,Unknown,Unknown
Cladosporium sphaerospermum,Unknown,Unknown
Toxicocladosporium rubrigenum,Unknown,Unknown
Cercospora agavicola,Unknown,Unknown
Hortaea werneckii,Unknown,Unknown
Aureobasidium melanogenum,Unknown,Unknown
Boeremia exigua,Unknown,Unknown
(f)Didymosphaeriaceae brabeji-brasiliense,Unknown,Unknown
Phaeosphaeria sp.,Unknown,Unknown
Alternaria alternata-cerasi-ellisii,Unknown,Unknown
(f)Pleosporaceae americana-pallescens,Unknown,Unknown
Curvularia sp.,Unknown,Unknown
(f)Sporormiaceae sp.,Unknown,Unknown
Exophiala oligosperma,Unknown,Unknown
Penicillium carneum-roqueforti,Unknown,Unknown
Penicillium digitatum-tarraconense-terraconense,Unknown,Unknown
(f)Dermateaceae sp.,Unknown,Unknown
Botrytis caroliniana-cinerea,Unknown,Unknown
(f)Pseudeurotiaceae sp.,Unknown,Unknown
(o)Pezizales sp.,Unknown,Unknown
Candida albicans,Unknown,Unknown
